CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Especialidade
Período:Fev/2020
"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"260290 Cabo de Santo Agostinho";150;183;36;45;7;-;421
"260300 Cabrobó";7;32;19;16;-;-;74
"260310 Cachoeirinha";4;6;2;4;-;-;16
"260320 Caetés";4;10;2;4;-;-;20
"260330 Calçado";-;5;3;3;-;-;11
"260340 Calumbi";-;8;4;5;-;-;17
"260345 Camaragibe";40;1;21;2;210;10;284
"260350 Camocim de São Félix";-;8;4;2;-;-;14
"260360 Camutanga";-;3;2;2;-;-;7
"260370 Canhotinho";6;14;8;4;-;-;32
"260380 Capoeiras";2;14;5;4;-;-;25
"260390 Carnaíba";3;7;2;3;-;-;15
"260392 Carnaubeira da Penha";1;4;4;2;-;-;11
"260400 Carpina";22;61;19;14;-;-;116
"260410 Caruaru";303;322;129;70;36;31;891
"260415 Casinhas";-;9;9;10;-;-;28
"260420 Catende";-;16;6;5;-;-;27
"260430 Cedro";-;8;4;6;-;-;18
"260440 Chã de Alegria";-;9;4;6;-;-;19
"260450 Chã Grande";8;14;6;12;-;-;40
"260460 Condado";-;12;4;5;-;-;21
"260470 Correntes";3;12;3;5;-;-;23
"260480 Cortês";18;9;6;6;-;-;39
"260490 Cumaru";4;6;6;3;-;-;19
"260500 Cupira";4;6;6;4;-;-;20
"260510 Custódia";14;36;17;9;-;-;76
"260515 Dormentes";-;20;4;3;-;-;27
"260520 Escada";16;29;19;19;-;-;83
"260530 Exu";-;19;6;8;-;-;33
"260540 Feira Nova";3;5;5;4;-;-;17
"260545 Fernando de Noronha";-;7;-;2;1;-;10
"260550 Ferreiros";-;5;-;2;-;-;7
"260560 Flores";4;8;5;5;-;-;22
"260570 Floresta";8;28;27;8;-;-;71
"260580 Frei Miguelinho";-;5;3;3;-;-;11
"260590 Gameleira";-;10;8;5;-;-;23
"260600 Garanhuns";120;67;67;24;31;24;333
"260610 Glória do Goitá";7;8;4;5;-;-;24
"260620 Goiana";35;39;37;27;-;3;141
"260630 Granito";-;10;3;6;-;-;19
"260640 Gravatá";11;32;7;6;42;-;98
"260650 Iati";3;11;6;2;-;-;22
"260660 Ibimirim";-;13;3;3;-;-;19
"260670 Ibirajuba";-;8;3;5;-;-;16
"260680 Igarassu";3;13;-;-;326;-;342
"260690 Iguaracy";-;9;3;4;-;-;16
"260760 Ilha de Itamaracá";-;7;4;3;-;-;14
"260700 Inajá";-;5;6;2;-;-;13
"260710 Ingazeira";-;2;1;1;-;-;4
"260720 Ipojuca";2;9;18;3;-;-;32
"260730 Ipubi";-;16;5;8;9;-;38
"260740 Itacuruba";-;8;4;2;-;-;14
"260750 Itaíba";-;18;2;1;-;-;21
"260765 Itambé";10;15;8;9;-;-;42
"260770 Itapetim";7;9;4;5;-;-;25
"260775 Itapissuma";-;1;-;-;-;-;1
"260780 Itaquitinga";-;6;4;4;-;-;14
"260790 Jaboatão dos Guararapes";222;301;92;44;65;2;726
"260795 Jaqueira";10;10;7;5;-;-;32
"260800 Jataúba";-;6;4;3;-;-;13
"260805 Jatobá";4;9;4;6;-;-;23
"260810 João Alfredo";-;11;7;5;-;-;23
"260820 Joaquim Nabuco";-;8;4;2;-;-;14
"260825 Jucati";-;4;1;1;-;-;6
"260830 Jupi";-;6;2;1;-;-;9
"260840 Jurema";-;10;4;4;-;-;18
"260850 Lagoa de Itaenga";2;10;6;2;-;-;20
"260845 Lagoa do Carro";2;6;3;2;-;-;13
"260860 Lagoa do Ouro";8;9;4;4;1;-;26
"260870 Lagoa dos Gatos";4;6;4;3;-;-;17
"260875 Lagoa Grande";-;13;10;4;-;-;27
"260880 Lajedo";-;12;5;4;-;-;21
"260890 Limoeiro";33;30;22;13;28;-;126
"260900 Macaparana";6;31;6;9;-;-;52
"260910 Machados";3;3;2;1;-;-;9
"260915 Manari";-;5;8;3;-;-;16
"260920 Maraial";-;4;7;2;-;-;13
"260930 Mirandiba";1;16;7;10;-;-;34
"261430 Moreilândia";-;16;2;4;-;-;22
"260940 Moreno";61;6;-;-;-;-;67
"260950 Nazaré da Mata";1;10;19;10;-;-;40
"260960 Olinda";54;155;28;14;232;6;489
"260970 Orobó";4;7;4;5;-;-;20
"260980 Orocó";-;5;3;3;-;-;11
"260990 Ouricuri";37;24;17;13;7;-;98
"261000 Palmares";77;62;50;35;50;-;274
"261010 Palmeirina";-;6;2;2;-;-;10
"261020 Panelas";5;11;4;6;-;-;26
"261030 Paranatama";-;13;4;3;-;-;20
"261040 Parnamirim";4;15;3;7;-;-;29
"261050 Passira";3;10;10;2;-;-;25
"261060 Paudalho";24;48;13;23;33;-;141
"261070 Paulista";175;205;47;15;77;-;519
"261080 Pedra";3;9;6;5;-;-;23
"261090 Pesqueira";24;76;40;27;-;-;167
"261100 Petrolândia";32;30;30;19;8;-;119
"261110 Petrolina";229;239;94;123;26;15;726
"261120 Poção";-;4;8;2;-;-;14
"261130 Pombos";4;9;5;3;-;-;21
"261140 Primavera";-;-;4;-;-;-;4
"261150 Quipapá";6;24;12;8;-;-;50
"261160 Recife";3051;2937;744;939;449;208;8328
"261170 Riacho das Almas";10;12;5;3;-;-;30
"261180 Ribeirão";-;4;3;-;-;-;7
"261190 Rio Formoso";-;12;2;2;-;-;16
"261200 Sairé";4;8;3;5;-;-;20
"261210 Salgadinho";-;4;-;1;-;-;5
"261220 Salgueiro";37;89;43;63;-;-;232
"261230 Saloá";3;11;3;2;-;-;19
"261240 Sanharó";-;5;4;5;-;-;14
"261245 Santa Cruz";-;18;3;3;-;-;24
"261247 Santa Cruz da Baixa Verde";2;6;4;3;-;-;15
"261250 Santa Cruz do Capibaribe";6;22;12;20;16;-;76
"261255 Santa Filomena";-;10;2;5;-;-;17
"261260 Santa Maria da Boa Vista";11;14;10;8;-;-;43
"261280 Santa Terezinha";-;7;3;3;-;-;13
"261290 São Benedito do Sul";-;11;7;10;-;-;28
"261300 São Bento do Una";10;15;8;13;-;-;46
"261310 São Caitano";7;23;14;9;-;-;53
"261320 São João";5;9;3;3;-;-;20
"261330 São Joaquim do Monte";13;10;6;5;-;-;34
"261340 São José da Coroa Grande";-;10;6;6;-;-;22
"261350 São José do Belmonte";4;17;4;12;-;-;37
"261360 São José do Egito";12;35;14;12;-;-;73
"261370 São Lourenço da Mata";11;40;33;13;-;-;97
"261380 São Vicente Ferrer";7;15;3;4;-;-;29
"261390 Serra Talhada";76;117;45;41;162;-;441
"261400 Serrita";2;18;6;6;-;-;32
"261410 Sertânia";12;47;13;11;-;-;83
"261420 Sirinhaém";6;8;6;6;-;-;26
"261440 Solidão";-;8;2;3;-;-;13
"261450 Surubim";20;92;20;8;40;-;180
"261460 Tabira";8;26;9;12;-;-;55
"261480 Tacaratu";-;9;4;4;-;-;17
"261485 Tamandaré";1;6;6;3;-;-;16
"261500 Taquaritinga do Norte";6;27;5;18;-;-;56
"261510 Terezinha";-;5;2;1;-;-;8
"261520 Terra Nova";-;5;3;3;-;-;11
"261530 Timbaúba";29;34;18;16;40;-;137
"261540 Toritama";5;12;5;6;-;-;28
"261550 Tracunhaém";-;4;4;3;-;-;11
"261560 Trindade";14;42;13;12;-;-;81
"261570 Triunfo";3;5;3;2;-;-;13
"261580 Tupanatinga";-;12;4;3;-;-;19
"261590 Tuparetama";9;19;3;8;-;-;39
"261600 Venturosa";4;10;6;4;-;-;24
"261610 Verdejante";-;3;4;8;-;-;15
"261620 Vertentes";10;32;3;5;-;-;50
"261630 Vicência";-;18;4;8;-;-;30
"261640 Vitória de Santo Antão";136;83;46;50;70;-;385
"261650 Xexéu";-;7;4;3;-;-;14
"270010 Água Branca";-;13;4;8;-;-;25
"270020 Anadia";-;10;8;7;-;-;25
"270030 Arapiraca";366;265;94;120;120;5;970
"270040 Atalaia";5;20;5;14;-;-;44
"270070 Batalha";18;4;10;3;-;-;35
"270100 Boca da Mata";-;7;4;3;-;-;14
"270120 Cacimbinhas";-;-;3;-;-;-;3
"270130 Cajueiro";-;12;5;9;-;-;26
"270140 Campo Alegre";-;20;10;10;-;-;40
"270170 Capela";7;20;9;9;8;-;53
"270210 Colônia Leopoldina";-;18;8;7;-;-;33
"270230 Coruripe";131;93;20;30;-;-;274
"270235 Craíbas";-;5;3;-;-;-;8
"270240 Delmiro Gouveia";6;14;12;12;-;-;44
"270280 Flexeiras";-;8;3;4;-;-;15
"270290 Girau do Ponciano";-;20;15;13;-;-;48
"270300 Ibateguara";-;-;3;-;-;-;3
"270310 Igaci";-;14;-;-;-;-;14
"270375 Jequiá da Praia";-;-;2;-;-;-;2
"270380 Joaquim Gomes";4;23;5;18;-;-;50
"270400 Junqueiro";5;10;10;10;-;-;35
"270410 Lagoa da Canoa";-;-;3;-;-;-;3
"270420 Limoeiro de Anadia";-;9;2;3;-;-;14
"270430 Maceió";797;777;382;278;602;30;2866
"270440 Major Isidoro";12;9;6;5;-;-;32
"270450 Maragogi";-;-;2;-;-;-;2
"270500 Mata Grande";-;16;8;12;-;-;36
"270510 Matriz de Camaragibe";-;13;6;5;-;-;24
"270550 Murici";15;26;5;7;-;-;53
"270570 Olho d'Água das Flores";8;14;8;17;-;-;47
"270630 Palmeira dos Índios";35;43;31;17;-;-;126
"270640 Pão de Açúcar";10;18;12;12;-;-;52
"270660 Paulo Jacinto";-;9;3;4;-;-;16
"270670 Penedo";35;29;27;18;-;-;109
"270680 Piaçabuçu";-;11;7;-;-;-;18
"270690 Pilar";18;12;7;6;-;-;43
"270710 Piranhas";8;13;8;10;-;-;39
"270730 Porto Calvo";6;17;10;8;-;-;41
"270760 Quebrangulo";6;10;5;7;-;-;28
"270770 Rio Largo";5;20;11;5;16;24;81
"270800 Santana do Ipanema";33;15;26;16;-;12;102
"270820 São Brás";1;1;1;-;-;-;3
"270830 São José da Laje";2;31;7;10;-;-;50
"270840 São José da Tapera";2;8;5;5;-;-;20
"270850 São Luís do Quitunde";-;13;7;7;-;-;27
"270860 São Miguel dos Campos";32;43;26;18;10;-;129
"270880 São Sebastião";-;-;6;-;-;-;6
"270910 Taquarana";-;1;-;-;-;-;1
"270915 Teotônio Vilela";7;14;12;12;5;-;50
"270920 Traipu";-;-;9;-;-;-;9
"270930 União dos Palmares";20;15;22;6;-;-;63
"270940 Viçosa";5;20;5;10;-;-;40
"280020 Aquidabã";-;22;-;10;-;-;32
"280030 Aracaju";796;667;244;199;194;61;2161
"280040 Arauá";-;1;-;-;-;-;1
"280067 Boquim";-;18;-;-;-;-;18
"280120 Canindé de São Francisco";9;10;-;8;-;-;27
"280130 Capela";1;26;20;18;-;-;65
"280140 Carira";-;1;-;-;-;-;1
"280150 Carmópolis";-;1;-;-;-;-;1
"280210 Estância";104;53;38;13;15;-;223
"280230 Frei Paulo";-;1;-;-;-;-;1
"280290 Itabaiana";63;22;49;17;-;1;152
"280300 Itabaianinha";-;17;3;5;-;-;25
"280340 Japoatã";8;5;8;-;-;-;21
"280350 Lagarto";66;32;29;12;-;1;140
"280360 Laranjeiras";-;1;-;-;-;-;1
"280420 Monte Alegre de Sergipe";-;6;-;1;-;-;7
"280440 Neópolis";-;17;-;8;-;-;25
"280450 Nossa Senhora da Glória";1;12;32;4;-;-;49
"280480 Nossa Senhora do Socorro";10;20;25;1;-;-;56
"280540 Poço Redondo";-;12;2;4;-;-;18
"280550 Poço Verde";-;12;-;-;-;-;12
"280560 Porto da Folha";4;6;4;4;-;-;18
"280570 Propriá";17;11;16;5;-;-;49
"280580 Riachão do Dantas";-;-;1;-;-;-;1
"280590 Riachuelo";5;44;-;7;-;-;56
"280610 Rosário do Catete";-;11;1;2;-;-;14
"280670 São Cristóvão";-;31;-;-;-;-;31
"280710 Simão Dias";-;2;-;-;-;-;2
"280760 Umbaúba";-;4;1;-;-;-;5
"290010 Abaíra";-;4;2;3;-;-;9
"290020 Abaré";2;8;8;6;-;-;24
"290030 Acajutiba";-;8;-;-;-;-;8
"290035 Adustina";-;15;4;-;-;-;19
"290040 Água Fria";-;7;5;8;-;-;20
"290060 Aiquara";-;8;1;4;-;-;13
"290070 Alagoinhas";92;73;24;40;6;7;242
"290080 Alcobaça";17;24;6;12;-;-;59
"290100 Amargosa";15;19;10;8;-;-;52
"290110 Amélia Rodrigues";-;6;5;5;-;-;16
"290115 América Dourada";2;14;5;5;-;-;26
"290120 Anagé";3;15;9;6;-;-;33
"290130 Andaraí";-;20;6;6;-;-;32
"290135 Andorinha";-;6;-;-;-;-;6
"290140 Angical";-;6;-;-;-;-;6
"290150 Anguera";-;4;1;1;-;-;6
"290160 Antas";36;57;27;22;-;-;142
"290190 Aporá";-;1;-;-;-;-;1
"290205 Araças";-;15;4;4;-;-;23
"290200 Aracatu";15;15;4;7;-;-;41
"290210 Araci";12;16;11;9;-;-;48
"290240 Aurelino Leal";14;9;7;10;-;-;40
"290250 Baianópolis";8;8;4;8;-;-;28
"290260 Baixa Grande";6;15;7;8;-;-;36
"290270 Barra";25;17;19;22;-;-;83
"290280 Barra da Estiva";9;38;13;24;-;-;84
"290290 Barra do Choça";4;16;4;8;-;-;32
"290300 Barra do Mendes";4;11;5;6;-;-;26
"290320 Barreiras";131;117;68;49;2;12;379
"290323 Barro Alto";2;12;3;6;-;-;23
"290330 Barro Preto";8;13;5;7;-;-;33
"290327 Barrocas";-;20;4;5;-;-;29
"290340 Belmonte";15;8;8;9;-;-;40
"290350 Belo Campo";5;23;6;8;2;-;44
"290360 Biritinga";-;8;3;3;-;-;14
"290380 Boa Vista do Tupim";-;6;4;4;-;-;14
"290390 Bom Jesus da Lapa";20;16;33;21;-;-;90
"290395 Bom Jesus da Serra";-;19;2;7;-;-;28
"290400 Boninal";4;8;4;8;-;-;24
"290405 Bonito";-;6;4;6;-;-;16
"290410 Boquira";7;10;3;6;-;-;26
"290420 Botuporã";-;8;4;4;-;-;16
"290430 Brejões";2;9;4;4;-;-;19
"290440 Brejolândia";8;12;9;6;-;-;35
"290450 Brotas de Macaúbas";-;8;3;4;-;-;15
"290460 Brumado";34;49;17;12;-;-;112
"290475 Buritirama";-;10;5;4;-;-;19
"290480 Caatiba";-;10;2;2;-;-;14
"290485 Cabaceiras do Paraguaçu";-;4;-;-;-;-;4
"290490 Cachoeira";34;28;11;10;-;-;83
"290500 Caculé";9;28;5;9;-;-;51
"290510 Caém";5;16;6;9;-;-;36
"290520 Caetité";60;49;36;11;-;-;156
"290530 Cafarnaum";6;12;7;8;-;-;33
"290550 Caldeirão Grande";4;21;6;8;-;-;39
"290560 Camacan";6;24;15;9;-;-;54
"290570 Camaçari";152;135;50;23;26;2;388
"290580 Camamu";-;8;4;4;1;-;17
"290590 Campo Alegre de Lourdes";12;29;18;18;-;-;77
"290600 Campo Formoso";25;17;16;26;-;-;84
"290610 Canápolis";6;6;4;6;2;-;24
"290620 Canarana";3;15;6;12;-;-;36
"290630 Canavieiras";17;22;22;14;-;-;75
"290640 Candeal";-;6;1;-;-;-;7
"290650 Candeias";18;36;21;4;-;11;90
"290660 Candiba";6;13;12;6;-;-;37
"290670 Cândido Sales";7;15;18;15;-;-;55
"290680 Cansanção";13;16;8;9;-;-;46
"290682 Canudos";8;10;13;10;-;-;41
"290685 Capela do Alto Alegre";-;6;3;2;-;-;11
"290687 Capim Grosso";21;24;8;4;-;-;57
"290689 Caraíbas";-;3;-;-;-;-;3
"290690 Caravelas";15;23;8;10;-;-;56
"290710 Carinhanha";5;16;6;3;-;-;30
"290720 Casa Nova";8;17;8;8;-;-;41
"290730 Castro Alves";18;18;15;9;-;-;60
"290750 Catu";27;31;12;10;2;15;97
"290755 Caturama";-;4;2;2;-;-;8
"290760 Central";6;20;6;10;-;-;42
"290770 Chorrochó";-;9;2;4;-;-;15
"290780 Cícero Dantas";19;20;4;6;-;-;49
"290790 Cipó";5;12;6;7;-;-;30
"290800 Coaraci";7;21;8;7;-;-;43
"290810 Cocos";9;6;7;9;-;-;31
"290830 Conceição do Almeida";8;11;8;5;-;-;32
"290840 Conceição do Coité";54;53;27;80;-;-;214
"290850 Conceição do Jacuípe";19;30;18;17;10;-;94
"290860 Conde";-;7;4;4;-;-;15
"290870 Condeúba";1;11;2;2;-;-;16
"290890 Coração de Maria";12;5;2;2;-;-;21
"290900 Cordeiros";-;3;1;1;-;-;5
"290910 Coribe";5;14;8;9;-;-;36
"290930 Correntina";6;6;15;8;-;-;35
"290940 Cotegipe";4;12;5;8;-;-;29
"290950 Cravolândia";6;10;2;6;-;-;24
"290960 Crisópolis";1;13;4;5;-;-;23
"290970 Cristópolis";18;24;10;15;2;-;69
"290980 Cruz das Almas";25;22;23;10;3;2;85
"290990 Curaçá";-;12;5;7;2;-;26
"291005 Dias d'Ávila";28;60;18;6;-;-;112
"291010 Dom Basílio";3;6;2;3;-;-;14
"291030 Elísio Medrado";-;6;3;3;-;-;12
"291040 Encruzilhada";8;17;6;18;-;-;49
"291050 Entre Rios";17;30;10;8;-;-;65
"290050 Érico Cardoso";-;10;1;4;-;-;15
"291060 Esplanada";16;13;7;4;-;-;40
"291070 Euclides da Cunha";15;22;6;4;-;-;47
"291072 Eunápolis";77;67;41;60;-;14;259
"291077 Feira da Mata";-;4;1;1;-;-;6
"291080 Feira de Santana";405;358;221;212;88;58;1342
"291085 Filadélfia";5;14;6;5;1;-;31
"291110 Formosa do Rio Preto";4;12;5;8;-;-;29
"291120 Gandu";12;17;24;9;-;-;62
"291130 Gentio do Ouro";3;4;3;6;-;-;16
"291150 Gongogi";-;3;1;1;-;-;5
"291160 Governador Mangabeira";-;-;-;-;40;-;40
"291170 Guanambi";87;63;42;21;-;-;213
"291180 Guaratinga";4;13;6;9;-;-;32
"291190 Iaçu";9;10;9;6;-;-;34
"291200 Ibiassucê";4;13;4;8;-;-;29
"291210 Ibicaraí";-;10;8;12;2;-;32
"291230 Ibicuí";6;9;3;3;-;-;21
"291240 Ibipeba";3;20;10;11;-;-;44
"291250 Ibipitanga";1;8;1;4;-;-;14
"291260 Ibiquera";-;2;-;-;-;-;2
"291270 Ibirapitanga";-;11;4;15;-;-;30
"291280 Ibirapuã";-;13;7;3;-;-;23
"291290 Ibirataia";17;44;13;17;-;-;91
"291300 Ibitiara";10;32;7;13;-;-;62
"291310 Ibititá";6;10;9;7;-;-;32
"291320 Ibotirama";21;17;24;16;-;-;78
"291330 Ichu";-;11;5;6;-;-;22
"291340 Igaporã";5;9;7;8;-;-;29
"291345 Igrapiúna";-;4;2;2;-;-;8
"291350 Iguaí";19;34;13;18;-;-;84
"291360 Ilhéus";248;240;55;44;1;45;633
"291370 Inhambupe";-;22;6;10;-;-;38
"291380 Ipecaetá";-;6;2;4;-;-;12
"291390 Ipiaú";33;55;19;17;-;-;124
"291400 Ipirá";7;21;8;8;-;-;44
"291410 Ipupiara";9;6;6;3;-;-;24
"291420 Irajuba";3;14;5;7;-;-;29
"291430 Iramaia";-;8;4;4;-;-;16
"291440 Iraquara";10;23;8;6;-;-;47
"291450 Irará";-;15;5;5;5;-;30
"291460 Irecê";89;34;33;24;-;6;186
"291465 Itabela";6;19;7;6;-;-;38
"291470 Itaberaba";21;30;16;12;5;5;89
"291480 Itabuna";218;138;91;97;12;16;572
"291490 Itacaré";6;27;6;21;1;-;61
"291500 Itaeté";-;8;2;5;-;-;15
"291510 Itagi";-;4;2;2;-;-;8
"291530 Itagimirim";1;9;5;5;-;-;20
"291535 Itaguaçu da Bahia";-;12;4;8;-;-;24
"291540 Itaju do Colônia";2;4;3;3;-;-;12
"291550 Itajuípe";13;35;3;9;-;-;60
"291560 Itamaraju";33;20;15;15;1;-;84
"291580 Itambé";10;20;11;9;-;-;50
"291600 Itanhém";13;18;11;12;-;-;54
"291610 Itaparica";12;12;12;16;-;-;52
"291630 Itapebi";-;6;3;3;-;-;12
"291640 Itapetinga";21;44;14;9;-;1;89
"291650 Itapicuru";5;22;10;17;-;-;54
"291660 Itapitanga";-;10;1;5;-;-;16
"291670 Itaquara";1;7;2;9;-;-;19
"291680 Itarantim";7;5;10;8;-;-;30
"291685 Itatim";-;18;6;6;-;-;30
"291690 Itiruçu";15;40;10;20;-;-;85
"291700 Itiúba";12;10;11;12;-;-;45
"291710 Itororó";8;20;6;11;-;-;45
"291720 Ituaçu";-;12;5;7;-;-;24
"291730 Ituberá";8;9;8;8;-;-;33
"291733 Iuiú";-;9;2;3;-;-;14
"291735 Jaborandi";9;8;7;6;-;-;30
"291740 Jacaraci";3;13;7;6;-;-;29
"291750 Jacobina";59;85;70;48;4;12;278
"291760 Jaguaquara";33;46;22;16;-;-;117
"291770 Jaguarari";-;15;8;5;-;-;28
"291800 Jequié";158;207;72;59;27;-;523
"291810 Jeremoabo";10;12;10;1;1;-;34
"291820 Jiquiriçá";4;10;4;5;-;-;23
"291830 Jitaúna";-;9;2;3;-;-;14
"291835 João Dourado";-;12;8;12;-;-;32
"291840 Juazeiro";252;123;60;40;89;12;576
"291845 Jucuruçu";1;8;6;9;-;-;24
"291850 Jussara";6;10;6;9;-;-;31
"291855 Jussari";13;11;6;7;-;-;37
"291860 Jussiape";-;8;2;2;-;-;12
"291875 Lagoa Real";4;5;4;4;-;-;17
"291880 Laje";18;13;5;5;-;-;41
"291905 Lajedo do Tabocal";7;8;4;8;-;-;27
"291915 Lapão";17;10;9;8;-;-;44
"291920 Lauro de Freitas";131;173;25;19;35;22;405
"291930 Lençóis";-;6;4;4;-;-;14
"291940 Licínio de Almeida";3;10;2;5;-;-;20
"291950 Livramento de Nossa Senhora";26;35;14;14;-;-;89
"291955 Luís Eduardo Magalhães";34;22;21;16;29;-;122
"291960 Macajuba";-;11;3;6;-;-;20
"291970 Macarani";6;12;3;6;-;-;27
"291980 Macaúbas";18;26;15;17;-;-;76
"291990 Macururé";-;8;6;4;-;-;18
"291992 Madre de Deus";6;8;5;9;-;-;28
"292000 Maiquinique";-;9;2;3;-;-;14
"292010 Mairi";5;12;5;5;-;-;27
"292020 Malhada";-;11;4;6;-;-;21
"292050 Maracás";12;30;6;10;-;-;58
"292080 Marcionílio Souza";7;6;4;2;-;-;19
"292100 Mata de São João";19;22;6;11;-;-;58
"292105 Matina";-;11;4;6;-;-;21
"292110 Medeiros Neto";5;11;8;7;1;-;32
"292120 Miguel Calmon";34;32;17;4;-;-;87
"292130 Milagres";4;8;6;3;-;-;21
"292140 Mirangaba";1;9;2;7;-;-;19
"292150 Monte Santo";18;12;18;12;-;-;60
"292160 Morpará";-;-;2;-;-;-;2
"292170 Morro do Chapéu";8;29;9;10;-;-;56
"292180 Mortugaba";4;12;4;4;-;-;24
"292190 Mucugê";8;14;6;4;-;-;32
"292200 Mucuri";15;58;12;11;1;-;97
"292205 Mulungu do Morro";6;14;7;7;-;-;34
"292210 Mundo Novo";4;12;8;8;-;-;32
"292230 Muritiba";17;14;6;3;-;-;40
"292240 Mutuípe";6;26;5;8;-;-;45
"292250 Nazaré";10;16;6;8;10;-;50
"292265 Nordestina";-;14;6;10;-;-;30
"292270 Nova Canaã";2;16;2;10;-;-;30
"292273 Nova Fátima";-;7;3;5;-;-;15
"292290 Nova Soure";-;23;8;8;-;-;39
"292300 Nova Viçosa";16;16;14;14;1;-;61
"292310 Olindina";3;8;5;7;-;-;23
"292320 Oliveira dos Brejinhos";-;7;4;2;-;-;13
"292330 Ouriçangas";-;7;4;4;-;-;15
"292335 Ourolândia";-;10;3;4;-;-;17
"292340 Palmas de Monte Alto";6;24;10;14;-;-;54
"292360 Paramirim";30;27;15;18;-;-;90
"292370 Paratinga";8;12;8;8;-;-;36
"292380 Paripiranga";-;12;6;-;-;-;18
"292390 Pau Brasil";-;4;1;2;-;-;7
"292400 Paulo Afonso";63;45;50;19;1;1;179
"292405 Pé de Serra";-;5;1;2;-;-;8
"292430 Piatã";10;7;3;6;-;-;26
"292440 Pilão Arcado";3;14;6;7;-;-;30
"292450 Pindaí";6;8;4;6;-;-;24
"292460 Pindobaçu";9;18;15;16;-;-;58
"292465 Pintadas";-;8;4;4;-;-;16
"292470 Piripá";-;8;4;5;-;-;17
"292480 Piritiba";6;16;5;10;-;-;37
"292490 Planaltino";2;12;6;7;-;-;27
"292500 Planalto";12;21;8;18;-;-;59
"292510 Poções";6;33;7;20;2;-;68
"292520 Pojuca";39;61;23;8;-;16;147
"292525 Ponto Novo";6;10;8;5;-;-;29
"292530 Porto Seguro";74;25;31;24;-;24;178
"292540 Potiraguá";-;10;2;9;-;-;21
"292550 Prado";12;16;8;6;-;-;42
"292560 Presidente Dutra";2;8;2;5;-;-;17
"292575 Presidente Tancredo Neves";-;10;3;4;-;-;17
"292580 Queimadas";6;20;15;9;-;-;50
"292590 Quijingue";-;8;4;5;-;-;17
"292595 Rafael Jambeiro";6;6;6;4;-;-;22
"292600 Remanso";20;25;15;11;-;-;71
"292610 Retirolândia";4;11;4;5;-;-;24
"292620 Riachão das Neves";-;19;3;7;-;-;29
"292630 Riachão do Jacuípe";46;37;14;24;-;-;121
"292640 Riacho de Santana";8;27;8;16;-;-;59
"292650 Ribeira do Amparo";-;2;1;2;-;-;5
"292660 Ribeira do Pombal";34;25;20;12;-;4;95
"292670 Rio de Contas";-;10;4;3;-;-;17
"292690 Rio do Pires";-;20;3;4;-;-;27
"292700 Rio Real";14;19;12;7;3;-;55
"292720 Ruy Barbosa";55;28;16;21;-;-;120
"292730 Salinas da Margarida";-;6;2;1;-;-;9
"292740 Salvador";2362;2438;627;789;1066;889;8171
"292750 Santa Bárbara";-;5;4;4;-;-;13
"292770 Santa Cruz Cabrália";5;7;3;6;1;-;22
"292790 Santa Inês";2;11;3;7;-;-;23
"292810 Santa Maria da Vitória";19;18;12;6;-;-;55
"292840 Santa Rita de Cássia";2;13;6;3;-;-;24
"292850 Santa Teresinha";6;5;12;5;-;-;28
"292800 Santaluz";22;29;24;13;13;-;101
"292820 Santana";5;10;12;8;1;-;36
"292830 Santanópolis";-;4;5;4;-;-;13
"292860 Santo Amaro";32;28;21;6;-;1;88
"292870 Santo Antônio de Jesus";148;86;62;25;-;7;328
"292880 Santo Estêvão";43;21;14;9;-;-;87
"292890 São Desidério";4;10;5;5;-;-;24
"292895 São Domingos";-;12;3;5;-;-;20
"292910 São Felipe";4;6;3;5;-;-;18
"292900 São Félix";35;34;10;7;2;2;90
"292905 São Félix do Coribe";9;20;6;14;-;-;49
"292920 São Francisco do Conde";5;19;7;4;-;-;35
"292925 São Gabriel";4;17;6;7;-;-;34
"292930 São Gonçalo dos Campos";12;14;3;7;-;-;36
"292940 São Miguel das Matas";8;10;7;4;-;-;29
"292950 São Sebastião do Passé";12;21;6;12;2;-;53
"292960 Sapeaçu";4;16;4;3;-;-;27
"292970 Sátiro Dias";5;11;5;4;-;-;25
"292975 Saubara";-;10;-;3;-;-;13
"292980 Saúde";10;18;7;4;-;-;39
"292990 Seabra";47;29;2;13;-;4;95
"293000 Sebastião Laranjeiras";4;8;4;4;-;-;20
"293010 Senhor do Bonfim";47;39;27;19;-;4;136
"293020 Sento Sé";9;13;5;5;-;-;32
"293015 Serra do Ramalho";3;12;8;7;1;-;31
"293030 Serra Dourada";6;18;13;8;-;-;45
"293040 Serra Preta";6;8;5;6;-;-;25
"293050 Serrinha";38;82;54;35;7;-;216
"293060 Serrolândia";5;11;8;9;-;-;33
"293070 Simões Filho";20;15;14;6;-;-;55
"293075 Sítio do Mato";1;9;4;3;1;-;18
"293077 Sobradinho";6;11;11;7;-;-;35
"293080 Souto Soares";-;6;3;3;-;-;12
"293090 Tabocas do Brejo Velho";6;15;3;8;-;-;32
"293105 Tanque Novo";2;14;6;8;-;-;30
"293110 Tanquinho";-;11;5;4;-;-;20
"293120 Taperoá";-;13;4;9;-;-;26
"293130 Tapiramutá";2;15;8;8;-;-;33
